Event,Date,Description,Source
"Gulf War",1990-08-02,"Iraqi invasion of Kuwait led to supply shock and price spike.","History/Wikipedia"
"Asian Financial Crisis",1997-07-02,"Economic crisis in East Asia reduced demand, lowering prices.","Wikipedia"
"OPEC Cut 1999",1999-04-01,"OPEC and non-OPEC cuts revived prices after 1998 crash.","OPEC/Wikipedia"
"9/11 Attacks",2001-09-11,"Terrorist attacks caused short-term demand shock and uncertainty.","History"
"Venezuela General Strike",2002-12-02,"Strike at PDVSA disrupted supply significantly.","Wikipedia"
"Iraq War",2003-03-20,"US invasion of Iraq raised supply concerns.","History"
"Global Financial Crisis",2008-09-15,"Lehman Brothers collapse marked severe demand destruction price crash.","Wikipedia"
"Arab Spring",2010-12-17," protests in MENA region raised supply risk premiums.","Wikipedia"
"Libyan Civil War",2011-02-15,"Conflict halted Libyan exports, spiking prices.","Wikipedia"
"OPEC Price War / Shale Boom",2014-11-27,"OPEC decided against cuts to fight US shale market share, crashing prices.","OPEC/Reuters"
"Iran Nuclear Deal Sanctions Lifted",2016-01-16,"Return of Iranian oil to market increased supply.","Wikipedia"
"OPEC+ Formation",2016-12-10,"OPEC and non-OPEC (Russia) agreed to cuts to stabilize market.","OPEC"
"COVID-19 Pandemic",2020-03-11,"WHO declared pandemic; global lockdowns crushed demand.","WHO/Wikipedia"
"OPEC+ Price War",2020-03-06,"Russia/Saudi disagreement led to supply flood amidst demand collapse.","Reuters"
"Russia-Ukraine War",2022-02-24,"Invasion led to sanctions fears and supply shock.","News"
